longitude;latitude;density
10.29930556;43.58819444;0.546047
10.29958333;43.58819444;0.546047
10.29458333;43.58847222;0.202219
10.29486111;43.58847222;0.202219
10.29513889;43.58847222;0.202219
10.29541667;43.58847222;0.202219
10.29569444;43.58847222;0.202219
10.29597222;43.58847222;0.202219
10.29625;43.58847222;0.202219
10.29652778;43.58847222;0.202219
10.29763889;43.58847222;0.202219
10.29791667;43.58847222;0.202219
10.29819444;43.58847222;0.202219
10.29847222;43.58847222;0.202219
10.29875;43.58847222;0.202219
10.29902778;43.58847222;0.546047
10.29930556;43.58847222;0.546047
10.29958333;43.58847222;0.546047
10.29986111;43.58847222;0.546047
10.29402778;43.58875;0.202219
10.29430556;43.58875;0.202219
10.29458333;43.58875;0.202219
10.29486111;43.58875;0.202219
10.29513889;43.58875;0.202219
10.29541667;43.58875;0.202219
10.29569444;43.58875;0.202219
10.29597222;43.58875;0.202219
10.29625;43.58875;0.202219
10.29652778;43.58875;0.202219
10.29680556;43.58875;0.202219
10.29791667;43.58875;0.202219
10.29819444;43.58875;0.202219
10.29847222;43.58875;0.202219
10.29875;43.58875;0.546047
10.29958333;43.58875;0.546047
10.29986111;43.58875;0.546047
10.29458333;43.58902778;0.202219
10.29486111;43.58902778;0.202219
10.29513889;43.58902778;0.202219
10.29541667;43.58902778;0.202219
10.29569444;43.58902778;0.202219
10.29597222;43.58902778;0.202219
10.29625;43.58902778;0.202219
10.29652778;43.58902778;0.202219
10.29791667;43.58902778;0.202219
10.29819444;43.58902778;0.202219
10.29847222;43.58902778;0.202219
10.29430556;43.58930556;0.202219
10.29458333;43.58930556;0.202219
10.29486111;43.58930556;0.202219
10.29513889;43.58930556;0.202219
10.29541667;43.58930556;0.202219
10.29569444;43.58930556;0.202219
10.29652778;43.58930556;0.202219
10.29680556;43.58930556;0.202219
10.29486111;43.58958333;0.202219
10.29513889;43.58958333;0.202219
10.29541667;43.58958333;0.202219
10.29791667;43.58958333;0.202219
10.29819444;43.58958333;0.202219
10.29375;43.58986111;0.202219
10.29402778;43.58986111;0.202219
10.29430556;43.58986111;0.202219
10.29541667;43.58986111;0.202219
10.29569444;43.58986111;0.202219
10.29597222;43.58986111;0.202219
10.29819444;43.58986111;0.976342
10.29847222;43.58986111;0.976342
10.29875;43.58986111;0.976342
10.29930556;43.58986111;0.546047
10.29402778;43.59013889;0.202219
10.29513889;43.59013889;0.202219
10.29541667;43.59013889;0.202219
10.29569444;43.59013889;0.202219
10.29625;43.59013889;0.202219
10.29680556;43.59013889;0.202219
10.29708333;43.59013889;0.202219
10.29736111;43.59013889;0.202219
